m11,m12,m13,m14,m15,m16,m21,m22,m23,m24,m25,m26,m31,m32,m33,m41,m42,m43,m51,m61,m62
0,0,0,0,85,0,0,0,0,0,-85,0,0,30,90,0,-30,-90,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,40,30,0,-40,-30,0,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,40,30,0,-40,-30,0,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,40,30,0,-40,-30,0,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,40,30,0,-40,-30,0,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,40,30,0,-40,-30,0,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,60,30,-20,-60,-30,20,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,60,30,-20,-60,-30,20,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,60,30,-30,-60,-30,30,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,60,30,-30,-60,-30,30,0,0,0
0,0,0,0,85,0,0,0,0,0,-85,0,45,30,-30,-45,-30,30,0,0,0
0,0,0,0,83.11,0,0,0,0,0,-83.11,0,30,30,-30,-30,-30,30,0,0,0
0,0,0,0,78.048,0,0,0,0,0,-78.048,0,0,30,-30,0,-30,30,0,0,0
0,0,0,0,78.608,0,0,0,0,0,-78.608,0,-30,30,-30,30,-30,30,0,0,0
0,0,0,0,80.322,0,0,0,0,0,-80.322,0,-45,30,-30,45,-30,30,0,0,0
0,0,0,0,82.684,0,0,0,0,0,-82.684,0,-60,30,-30,60,-30,30,0,0,0
0,0,0,0,81.76,0,0,0,0,0,-81.76,0,-85,30,-5,85,-30,30,0,0,0
0,0,0,0,81.76,0,0,0,0,0,-81.76,0,-85,30,-5,85,-30,5,0,0,0
0,0,0,0,81.76,0,0,0,0,0,-81.76,0,-85,30,-5,85,-30,5,0,0,0
0,-4.0741,0,-2.2222,80.52,0,0,-4.0741,0,2.2222,-80.52,0,-84.074,30,-4.0741,84.074,-30,4.0741,0,0,0
0,-8.1481,0,-4.4444,79.278,0,0,-8.1481,0,4.4444,-79.278,0,-83.148,30,-3.1481,83.148,-30,3.1481,0,0,0
0,-12.222,0,-6.6667,78.032,0,0,-12.222,0,6.6667,-78.032,0,-82.222,30,-2.2222,82.222,-30,2.2222,0,0,0
0,-16.296,0,-8.8889,76.781,0,0,-16.296,0,8.8889,-76.781,0,-81.296,30,-1.2963,81.296,-30,1.2963,0,0,0
0,-20.37,0,-11.111,75.523,0,0,-20.37,0,11.111,-75.523,0,-80.37,30,-0.37037,80.37,-30,0.37037,0,0,0
0,-24.444,0,-13.333,74.258,0,0,-24.444,0,13.333,-74.258,0,-79.444,30,0.55556,79.444,-30,-0.55556,0,0,0
0,-28.519,0,-15.556,72.984,0,0,-28.519,0,15.556,-72.984,0,-78.519,30,1.4815,78.519,-30,-1.4815,0,0,0
0,-32.593,0,-17.778,71.699,0,0,-32.593,0,17.778,-71.699,0,-77.593,30,2.4074,77.593,-30,-2.4074,0,0,0
0,-36.667,0,-20,70.401,0,0,-36.667,0,20,-70.401,0,-76.667,30,3.3333,76.667,-30,-3.3333,0,0,0
0,-40.741,0,-22.222,69.09,0,0,-40.741,0,22.222,-69.09,0,-75.741,30,4.2593,75.741,-30,-4.2593,0,0,0
0,-44.815,0,-24.444,67.763,0,0,-44.815,0,24.444,-67.763,0,-74.815,30,5.1852,74.815,-30,-5.1852,0,0,0
0,-48.889,0,-26.667,66.417,0,0,-48.889,0,26.667,-66.417,0,-73.889,30,6.1111,73.889,-30,-6.1111,0,0,0
0,-52.963,0,-28.889,65.052,0,0,-52.963,0,28.889,-65.052,0,-72.963,30,7.037,72.963,-30,-7.037,0,0,0
0,-57.037,0,-31.111,63.663,0,0,-57.037,0,31.111,-63.663,0,-72.037,30,7.963,72.037,-30,-7.963,0,0,0
0,-61.111,0,-33.333,62.25,0,0,-61.111,0,33.333,-62.25,0,-71.111,30,8.8889,71.111,-30,-8.8889,0,0,0
0,-65.185,0,-35.556,60.808,0,0,-65.185,0,35.556,-60.808,0,-70.185,30,9.8148,70.185,-30,-9.8148,0,0,0
0,-69.259,0,-37.778,59.334,0,0,-69.259,0,37.778,-59.334,0,-69.259,30,10.741,69.259,-30,-10.741,0,0,0
0,-73.333,0,-40,57.825,0,0,-73.333,0,40,-57.825,0,-68.333,30,11.667,68.333,-30,-11.667,0,0,0
0,-77.407,0,-42.222,56.277,0,0,-77.407,0,42.222,-56.277,0,-67.407,30,12.593,67.407,-30,-12.593,0,0,0
0,-81.481,0,-44.444,54.684,0,0,-81.481,0,44.444,-54.684,0,-66.481,30,13.519,66.481,-30,-13.519,0,0,0
0,-85.556,0,-46.667,53.041,0,0,-85.556,0,46.667,-53.041,0,-65.556,30,14.444,65.556,-30,-14.444,0,0,0
