m11	m12	m13	m14	m15	m16	m21	m22	m23	m24	m25	m26	m31	m32	m33	m41	m42	m43	m51	m61	m62
0	0	0	0	85	0	0	0	0	0	-85	0	0	30	90	0	-30	-90	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	40	30	0	-40	-30	0	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	40	30	0	-40	-30	0	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	40	30	0	-40	-30	0	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	40	30	0	-40	-30	0	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	40	30	0	-40	-30	0	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	60	30	-20	-60	-30	20	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	60	30	-20	-60	-30	20	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	60	30	-30	-60	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	60	30	-30	-60	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	45	30	-30	-45	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	30	30	-30	-30	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	0	30	-30	0	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	-30	30	-30	30	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	-45	30	-30	45	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	-60	30	-30	60	-30	30	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	-85	30	-5	85	-30	5	0	0	0
0	0	0	0	85	0	0	0	0	0	-85	0	-85	30	-5	85	-30	5	0	0	0
0	-30	0	-30	85	0	0	-30	0	30	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-30	0	-30	85	0	0	-30	0	30	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-60	0	-60	85	0	0	-60	0	60	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-60	0	-60	85	0	0	-60	0	60	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-60	0	-60	85	0	0	-60	0	60	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-85	0	-60	85	0	0	-85	0	60	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-85	0	-60	85	0	0	-85	0	60	-85	0	-92	30	-5	92	-30	5	0	0	0
0	-110	0	-60	85	0	0	-110	0	60	-85	0	-60	30	20	60	-30	-20	0	0	0
0	-110	0	-60	85	0	0	-110	0	60	-85	0	-60	30	20	60	-30	-20	0	0	0
0	-110	0	-85	85	0	0	-110	0	85	-85	0	-60	30	20	60	-30	-20	0	0	0
0	-110	0	-85	85	0	0	-110	0	85	-85	0	-60	30	20	60	-30	-20	0	0	0
0	-110	0	-85	85	0	0	-110	0	85	-85	0	-60	30	20	60	-30	-20	0	0	0
0	-105	0	-100	85	0	0	-105	0	100	-85	0	-85	30	90	85	-30	-90	20	0	0
0	-105	0	-100	85	0	0	-105	0	100	-85	0	-85	30	90	85	-30	-90	20	0	0
0	-105	0	-100	85	0	0	-105	0	100	-85	0	-85	30	90	85	-30	-90	20	0	0
0	-105	0	-142	85	0	0	-105	0	142	-85	0	-85	30	90	85	-30	-90	40	0	0
0	-105	0	-142	85	0	0	-105	0	142	-85	0	-85	30	90	85	-30	-90	40	0	0
0	-105	0	-142	85	0	0	-105	0	142	-85	0	-85	30	90	85	-30	-90	40	0	0
0	-105	0	-142	75	0	0	-105	0	142	-75	0	-85	30	90	85	-30	-90	60	0	0
0	-105	0	-142	75	0	0	-105	0	142	-75	0	-85	30	90	85	-30	-90	60	0	0
0	-105	0	-142	75	0	0	-105	0	142	-75	0	-85	30	90	85	-30	-90	60	0	0
0	-105	0	-142	75	0	0	-105	0	142	-75	0	-85	30	90	85	-30	-90	60	0	0
0	-105	0	-142	75	0	0	-105	0	142	-75	0	-85	30	90	85	-30	-90	60	0	0
0	-105	0	-142	75	0	0	-105	0	142	-75	0	-85	30	90	85	-30	-90	60	0	0
0	-95	0	-142	85	0	0	-95	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-95	0	-142	85	0	0	-95	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-85	0	-142	85	0	0	-85	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-85	0	-142	85	0	0	-85	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-75	0	-142	85	0	0	-75	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-75	0	-142	85	0	0	-75	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-75	0	-142	85	0	0	-75	0	142	-85	0	-80	30	90	80	-30	-90	60	0	0
0	-50	0	-140	85	0	0	-50	0	140	-85	0	0	30	90	0	-30	-90	40	0	0
